,Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,year,CPI
0,Switzerland,1,7.587000000000001,1.3965100000000001,1.34951,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004,2.5173799999999997,2015,86.0
1,Iceland,2,7.561,1.3023200000000001,1.4022299999999999,0.94784,0.6287699999999999,0.14145,0.4363,2.70201,2015,79.0
2,Denmark,3,7.527,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003,2015,91.0
3,Norway,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.4653099999999997,2015,88.0
4,Canada,5,7.4270000000000005,1.32629,1.32261,0.9056299999999999,0.63297,0.32957,0.45811,2.4517599999999997,2015,83.0
5,Finland,6,7.406000000000001,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2.61955,2015,90.0
6,Netherlands,7,7.377999999999999,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657,2015,84.0
7,Sweden,8,7.364,1.33171,1.2890700000000002,0.9108700000000001,0.6598,0.43843999999999994,0.36262,2.3711900000000004,2015,89.0
8,New Zealand,9,7.2860000000000005,1.2501799999999998,1.3196700000000001,0.9083700000000001,0.6393800000000001,0.42922,0.47501000000000004,2.26425,2015,91.0
9,Australia,10,7.284,1.33358,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646,2015,79.0
10,Israel,11,7.278,1.2285700000000002,1.22393,0.9138700000000001,0.41318999999999995,0.07785,0.33171999999999996,3.08854,2015,61.0
11,Costa Rica,12,7.226,0.95578,1.2378799999999999,0.8602700000000001,0.63376,0.10583,0.25497,3.17728,2015,55.0
12,Austria,13,7.2,1.33723,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332,2015,76.0
13,Mexico,14,7.187,1.02054,0.91451,0.8144399999999999,0.48181,0.21311999999999998,0.14074,3.6021400000000003,2015,31.0
14,United States,15,7.119,1.3945100000000001,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,2015,76.0
15,Brazil,16,6.983,0.98124,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,3.26001,2015,38.0
16,Luxembourg,17,6.946000000000001,1.5639100000000001,1.21963,0.91894,0.61583,0.37798000000000004,0.28034000000000003,1.9696099999999999,2015,85.0
17,Ireland,18,6.94,1.33596,1.36948,0.89533,0.6177699999999999,0.28703,0.45901000000000003,1.9757,2015,75.0
18,Belgium,19,6.937,1.30782,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003,2015,77.0
19,United Arab Emirates,20,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743,2015,70.0
20,United Kingdom,21,6.867000000000001,1.26637,1.28548,0.90943,0.59625,0.32066999999999996,0.51912,1.9699400000000002,2015,81.0
21,Oman,22,6.853,1.36011,1.08182,0.76276,0.63274,0.32524000000000003,0.21541999999999997,2.4748900000000003,2015,45.0
22,Venezuela,23,6.81,1.04424,1.25596,0.7205199999999999,0.42908,0.11069000000000001,0.058410000000000004,3.1913099999999996,2015,17.0
23,Singapore,24,6.797999999999999,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.8850099999999999,2015,85.0
24,Panama,25,6.7860000000000005,1.0635299999999999,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848,2015,39.0
25,Germany,26,6.75,1.32792,1.2993700000000001,0.89186,0.6147699999999999,0.21843,0.28214,2.1156900000000003,2015,81.0
26,Chile,27,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2.67585,2015,70.0
27,Qatar,28,6.611000000000001,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674,2015,71.0
28,France,29,6.575,1.27778,1.2603799999999998,0.9457899999999999,0.55011,0.20646,0.12332,2.21126,2015,70.0
29,Argentina,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,2.8360000000000003,2015,32.0
30,Czech Republic,31,6.505,1.17898,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,2.67782,2015,56.0
31,Uruguay,32,6.485,1.06166,1.2089,0.8116,0.6036199999999999,0.24558000000000002,0.2324,2.3214200000000003,2015,74.0
32,Colombia,33,6.477,0.91861,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,2.85737,2015,37.0
33,Thailand,34,6.455,0.9669,1.26504,0.7385,0.5566399999999999,0.031869999999999996,0.5763,2.31945,2015,38.0
34,Saudi Arabia,35,6.4110000000000005,1.39541,1.0839299999999998,0.72025,0.31048000000000003,0.32524000000000003,0.13706,2.43872,2015,52.0
35,Spain,36,6.329,1.23011,1.31379,0.95562,0.45951000000000003,0.06398,0.18227000000000002,2.12367,2015,58.0
36,Malta,37,6.3020000000000005,1.2074,1.30203,0.88721,0.60365,0.13585999999999998,0.51752,1.6488,2015,60.0
37,Taiwan,38,6.297999999999999,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,2.32323,2015,62.0
38,Kuwait,39,6.295,1.5542200000000002,1.16594,0.72492,0.55499,0.25609,0.16228,1.8763400000000001,2015,49.0
39,Suriname,40,6.269,0.99534,0.972,0.6082,0.5965699999999999,0.13633,0.16990999999999998,2.79094,2015,36.0
40,Trinidad and Tobago,41,6.167999999999999,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2.2688200000000003,2015,39.0
41,El Salvador,42,6.13,0.76454,1.0250700000000001,0.67737,0.4035,0.11775999999999999,0.10692,3.035,2015,39.0
42,Guatemala,43,6.122999999999999,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,2.74255,2015,28.0
43,Uzbekistan,44,6.002999999999999,0.63244,1.34043,0.59772,0.6582100000000001,0.30826,0.22837,2.2374099999999997,2015,19.0
44,Slovakia,45,5.995,1.1689100000000001,1.26999,0.7890199999999999,0.31751,0.03431,0.16893,2.2463900000000003,2015,51.0
45,Japan,46,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435,2015,75.0
46,Ecuador,48,5.975,0.8640200000000001,0.99903,0.79075,0.48573999999999995,0.1809,0.11540999999999998,2.5394200000000002,2015,32.0
47,Bahrain,49,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.73797,2015,51.0
48,Italy,50,5.9479999999999995,1.25114,1.19777,0.9544600000000001,0.26236,0.02901,0.22823000000000002,2.0251799999999998,2015,44.0
49,Bolivia,51,5.89,0.68133,0.97841,0.5392,0.57414,0.08800000000000001,0.20536,2.82334,2015,34.0
50,Moldova,52,5.888999999999999,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,3.10712,2015,33.0
51,Paraguay,53,5.877999999999999,0.75985,1.30477,0.66098,0.53899,0.08242000000000001,0.3424,2.18896,2015,27.0
52,Kazakhstan,54,5.855,1.1225399999999999,1.1224100000000001,0.64368,0.51649,0.08454,0.11827,2.24729,2015,28.0
53,Slovenia,55,5.848,1.18498,1.27385,0.8733700000000001,0.60855,0.03787,0.25328,1.6158299999999999,2015,60.0
54,Lithuania,56,5.832999999999999,1.14723,1.25745,0.73128,0.21341999999999997,0.01031,0.026410000000000003,2.4464900000000003,2015,59.0
55,Nicaragua,57,5.827999999999999,0.59325,1.14184,0.7431399999999999,0.55475,0.19317,0.27815,2.32407,2015,27.0
56,Peru,58,5.824,0.9001899999999999,0.97459,0.73017,0.41496000000000005,0.05989,0.14982,2.5945,2015,36.0
57,Belarus,59,5.813,1.0319200000000002,1.23289,0.7360800000000001,0.37938,0.1909,0.11045999999999999,2.1309,2015,32.0
58,Poland,60,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759000000000002,1.86565,2015,63.0
59,Malaysia,61,5.77,1.12486,1.07023,0.7239399999999999,0.5302399999999999,0.10500999999999999,0.33075,1.8854099999999998,2015,50.0
60,Croatia,62,5.7589999999999995,1.08254,0.79624,0.78805,0.25883,0.0243,0.054439999999999995,2.75414,2015,51.0
61,Libya,63,5.754,1.13145,1.1186200000000002,0.7038,0.41668,0.11023,0.18295,2.0906599999999997,2015,16.0
62,Russia,64,5.716,1.13764,1.23617,0.6692600000000001,0.36679,0.03005,0.00199,2.27394,2015,29.0
63,Jamaica,65,5.709,0.81038,1.1510200000000002,0.6874100000000001,0.50442,0.02299,0.2123,2.32038,2015,41.0
64,Cyprus,67,5.689,1.20813,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004,1.8893099999999998,2015,61.0
65,Algeria,68,5.605,0.93929,1.07772,0.61766,0.28579,0.17382999999999998,0.07822,2.43209,2015,36.0
66,Kosovo,69,5.5889999999999995,0.80148,0.81198,0.63132,0.24749000000000002,0.04741,0.2831,2.76579,2015,33.0
67,Turkmenistan,70,5.547999999999999,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,1.8698400000000002,2015,18.0
68,Mauritius,71,5.477,1.0076100000000001,0.98521,0.7095,0.56066,0.07521,0.37744,1.76145,2015,53.0
69,Hong Kong,72,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,0.6542899999999999,2015,75.0
70,Estonia,73,5.428999999999999,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782,2015,70.0
71,Indonesia,74,5.399,0.8282700000000001,1.0870799999999998,0.63793,0.46611,0.0,0.51535,1.86399,2015,36.0
72,Vietnam,75,5.36,0.63216,0.9122600000000001,0.7467600000000001,0.59444,0.10440999999999999,0.1686,2.20173,2015,31.0
73,Turkey,76,5.332000000000001,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2.08528,2015,42.0
74,Kyrgyzstan,77,5.2860000000000005,0.47428000000000003,1.15115,0.65088,0.43477,0.042319999999999997,0.3003,2.2327,2015,28.0
75,Nigeria,78,5.268,0.65435,0.9043200000000001,0.16007000000000002,0.34334000000000003,0.0403,0.27233,2.89319,2015,26.0
76,Bhutan,79,5.252999999999999,0.77042,1.10395,0.57407,0.5320600000000001,0.15445,0.47998,1.63794,2015,65.0
77,Azerbaijan,80,5.212000000000001,1.02389,0.9379299999999999,0.64045,0.3703,0.16065,0.07799,2.00073,2015,29.0
78,Pakistan,81,5.194,0.59543,0.41411000000000003,0.51466,0.12102,0.10464000000000001,0.33671,3.1070900000000004,2015,30.0
79,Jordan,82,5.192,0.9019799999999999,1.05392,0.69639,0.40660999999999997,0.14293,0.11052999999999999,1.8799599999999999,2015,53.0
80,Montenegro,82,5.192,0.9743799999999999,0.9055700000000001,0.72521,0.1826,0.14296,0.1614,2.10017,2015,44.0
81,China,84,5.14,0.89012,0.94675,0.81658,0.5169699999999999,0.02781,0.08185,1.8604,2015,37.0
82,Zambia,85,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2.6343,2015,38.0
83,Romania,86,5.124,1.04345,0.8858799999999999,0.7689,0.35068,0.006490000000000001,0.13748,1.9312900000000002,2015,46.0
84,Serbia,87,5.122999999999999,0.92053,1.0096399999999999,0.74836,0.20107,0.02617,0.19230999999999998,2.025,2015,40.0
85,Portugal,88,5.102,1.15991,1.13935,0.8751899999999999,0.51469,0.01078,0.13719,1.26462,2015,64.0
86,Latvia,89,5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18225999999999998,1.62215,2015,56.0
87,Philippines,90,5.073,0.70532,1.03516,0.58114,0.62545,0.12279000000000001,0.24991,1.7536,2015,35.0
88,Morocco,92,5.013,0.7347899999999999,0.64095,0.60954,0.41691000000000006,0.08546000000000001,0.07172,2.4537299999999997,2015,36.0
89,Mozambique,94,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,3.05137,2015,31.0
90,Albania,95,4.959,0.8786700000000001,0.8043399999999999,0.81325,0.35733000000000004,0.06412999999999999,0.14272,1.89894,2015,36.0
91,Bosnia and Herzegovina,96,4.949,0.8322299999999999,0.9191600000000001,0.79081,0.09245,0.00227,0.24808000000000002,2.06367,2015,38.0
92,Lesotho,97,4.898,0.37545,1.04103,0.07612000000000001,0.31767,0.12504,0.16388,2.79832,2015,44.0
93,Dominican Republic,98,4.885,0.8953700000000001,1.17202,0.66825,0.57672,0.14234000000000002,0.21684,1.21305,2015,33.0
94,Laos,99,4.876,0.5906600000000001,0.73803,0.54909,0.59591,0.24249,0.42191999999999996,1.7379900000000001,2015,25.0
95,Mongolia,100,4.874,0.82819,1.3006,0.60268,0.43626000000000004,0.026660000000000003,0.3323,1.34759,2015,39.0
96,Greece,102,4.857,1.15406,0.9293299999999999,0.88213,0.07699,0.013969999999999998,0.0,1.8010099999999998,2015,46.0
97,Lebanon,103,4.8389999999999995,1.0256399999999999,0.80001,0.83947,0.33916,0.04582,0.21854,1.57059,2015,28.0
98,Hungary,104,4.8,1.12094,1.20215,0.75905,0.32111999999999996,0.02758,0.128,1.24074,2015,51.0
99,Honduras,105,4.788,0.59532,0.9534799999999999,0.6951,0.40148,0.06825,0.23026999999999997,1.84408,2015,31.0
100,Tajikistan,106,4.7860000000000005,0.39047,0.8556299999999999,0.5737899999999999,0.47216,0.15072,0.22974,2.1139900000000003,2015,26.0
101,Tunisia,107,4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,2.12466,2015,38.0
102,Bangladesh,109,4.694,0.39753,0.43106000000000005,0.60164,0.4082,0.12569,0.21222,2.51767,2015,25.0
103,Iran,110,4.686,1.0088,0.54447,0.69805,0.30033000000000004,0.058629999999999995,0.38086,1.6944,2015,27.0
104,Ukraine,111,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,1.5714,2015,27.0
105,Iraq,112,4.677,0.98549,0.81889,0.60237,0.0,0.13788,0.17922000000000002,1.95335,2015,16.0
106,South Africa,113,4.6419999999999995,0.9204899999999999,1.18468,0.27688,0.33207,0.08884,0.11972999999999999,1.7195599999999998,2015,44.0
107,Ghana,114,4.633,0.5455800000000001,0.6795399999999999,0.40131999999999995,0.42341999999999996,0.04355,0.23087,2.30919,2015,47.0
108,Zimbabwe,115,4.61,0.271,1.0327600000000001,0.33475,0.25861,0.08079,0.18987,2.44191,2015,21.0
109,Liberia,116,4.571000000000001,0.0712,0.78968,0.34201,0.28531,0.06232000000000001,0.24361999999999998,2.7772900000000003,2015,37.0
110,India,117,4.565,0.64499,0.38174,0.5152899999999999,0.39786,0.08492000000000001,0.26475,2.27513,2015,38.0
111,Sudan,118,4.55,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,2.20857,2015,12.0
112,Haiti,119,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2.24173,2015,17.0
113,Nepal,121,4.513999999999999,0.35996999999999996,0.86449,0.5687399999999999,0.38282,0.059070000000000004,0.32295999999999997,1.9563700000000002,2015,27.0
114,Ethiopia,122,4.512,0.19072999999999998,0.60406,0.44055,0.4345,0.15048,0.24325,2.44876,2015,33.0
115,Sierra Leone,123,4.507,0.33024000000000003,0.9557100000000001,0.0,0.4084,0.08786000000000001,0.21488000000000002,2.51009,2015,29.0
116,Mauritania,124,4.436,0.45407,0.86908,0.35874,0.24231999999999998,0.17461,0.21899999999999997,2.11773,2015,31.0
117,Kenya,125,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,1.78555,2015,25.0
118,Djibouti,126,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2.05125,2015,34.0
119,Armenia,127,4.35,0.7682100000000001,0.7771100000000001,0.7299,0.19847,0.039,0.07855,1.75873,2015,35.0
120,Botswana,128,4.332,0.99355,1.10464,0.047760000000000004,0.49495,0.12474,0.10461,1.46181,2015,63.0
121,Myanmar,129,4.3069999999999995,0.27108000000000004,0.70905,0.48246000000000006,0.44017,0.19034,0.79588,1.41805,2015,22.0
122,Georgia,130,4.297,0.7419,0.38561999999999996,0.72926,0.40576999999999996,0.38331,0.055470000000000005,1.59541,2015,52.0
123,Malawi,131,4.292,0.016040000000000002,0.41134,0.22562,0.43054,0.06977,0.33128,2.8079099999999997,2015,31.0
124,Sri Lanka,132,4.271,0.83524,1.01905,0.70806,0.5372600000000001,0.09179,0.40828000000000003,0.67108,2015,37.0
125,Cameroon,133,4.252,0.4225,0.8876700000000001,0.23401999999999998,0.49309,0.05786,0.20618000000000003,1.95071,2015,27.0
126,Bulgaria,134,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.89991,2015,41.0
127,Egypt,135,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,1.59927,2015,36.0
128,Yemen,136,4.077,0.5464899999999999,0.68093,0.40064,0.35570999999999997,0.07854,0.09131,1.92313,2015,18.0
129,Angola,137,4.033,0.75778,0.8604,0.16683,0.10384000000000002,0.07122,0.12344000000000001,1.9493900000000002,2015,15.0
130,Mali,138,3.995,0.26074,1.03526,0.20583,0.38856999999999997,0.12352,0.18798,1.79293,2015,35.0
131,Comoros,140,3.9560000000000004,0.23906,0.79273,0.36315,0.22916999999999998,0.19899999999999998,0.17440999999999998,1.95812,2015,26.0
132,Uganda,141,3.931,0.21101999999999999,1.13299,0.33860999999999997,0.45726999999999995,0.07267,0.29066,1.42766,2015,25.0
133,Senegal,142,3.904,0.36498,0.97619,0.4354,0.36772,0.10712999999999999,0.20843000000000003,1.44395,2015,44.0
134,Gabon,143,3.8960000000000004,1.06024,0.90528,0.43372,0.31914000000000003,0.11091,0.06822,0.99895,2015,34.0
135,Niger,144,3.845,0.0694,0.77265,0.29707,0.47691999999999996,0.15639,0.19387000000000001,1.87877,2015,34.0
136,Cambodia,145,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,0.98195,2015,21.0
137,Tanzania,146,3.781,0.2852,1.00268,0.38215,0.32878,0.05747000000000001,0.34376999999999996,1.38079,2015,30.0
138,Madagascar,147,3.681,0.20824,0.66801,0.46721,0.19184,0.08123999999999999,0.21333000000000002,1.851,2015,28.0
139,Central African Republic,148,3.678,0.0785,0.0,0.06699,0.48878999999999995,0.08288999999999999,0.23835,2.7223,2015,24.0
140,Chad,149,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,1.9429599999999998,2015,22.0
141,Guinea,150,3.656,0.17417,0.46475,0.24009,0.37725,0.12139000000000001,0.28657,1.9917200000000002,2015,25.0
142,Burkina Faso,152,3.5869999999999997,0.25811999999999996,0.85188,0.27125,0.39493,0.12832000000000002,0.21746999999999997,1.46494,2015,38.0
143,Afghanistan,153,3.575,0.31982,0.30285,0.30335,0.23414000000000001,0.09719,0.3651,1.9521,2015,11.0
144,Rwanda,154,3.465,0.22208000000000003,0.7737,0.42863999999999997,0.59201,0.55191,0.22628,0.67042,2015,54.0
145,Benin,155,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.6332799999999998,2015,37.0
146,Syria,156,3.0060000000000002,0.6632,0.47489,0.7219300000000001,0.15684,0.18905999999999998,0.47179,0.32858000000000004,2015,18.0
147,Burundi,157,2.905,0.0153,0.41586999999999996,0.22396,0.1185,0.10062,0.19727,1.83302,2015,21.0
148,Togo,158,2.839,0.20868,0.13995,0.28443,0.36453,0.10730999999999999,0.16680999999999999,1.56726,2015,32.0
149,Denmark,1,7.526,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453000000000004,0.36171,2.73939,2016,90.0
150,Switzerland,2,7.5089999999999995,1.5273299999999999,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,2016,86.0
151,Iceland,3,7.501,1.42666,1.18326,0.8673299999999999,0.56624,0.14975,0.47678000000000004,2.83137,2016,78.0
152,Norway,4,7.497999999999999,1.57744,1.1269,0.79579,0.59609,0.35775999999999997,0.37895,2.66465,2016,85.0
153,Finland,5,7.412999999999999,1.40598,1.1346399999999999,0.81091,0.57104,0.41003999999999996,0.25492,2.82596,2016,89.0
154,Canada,6,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44833999999999996,2.70485,2016,82.0
155,Netherlands,7,7.3389999999999995,1.46468,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,2.70749,2016,83.0
156,New Zealand,8,7.334,1.36066,1.17278,0.83096,0.5814699999999999,0.41903999999999997,0.49401000000000006,2.47553,2016,90.0
157,Australia,9,7.313,1.4444299999999999,1.10476,0.8512,0.5683699999999999,0.32331,0.47407,2.5465,2016,79.0
158,Sweden,10,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,2016,88.0
159,Israel,11,7.267,1.33766,0.9953700000000001,0.8491700000000001,0.36432,0.08728,0.32288,3.31029,2016,64.0
160,Austria,12,7.119,1.45038,1.0838299999999998,0.80565,0.54355,0.21348000000000003,0.32865,2.6934299999999998,2016,75.0
161,Costa Rica,14,7.087000000000001,1.06879,1.02152,0.76146,0.55225,0.10547000000000001,0.22553,3.3516800000000004,2016,58.0
162,Germany,16,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30451999999999996,2.5093099999999997,2016,81.0
163,Brazil,17,6.952000000000001,1.08754,1.03938,0.61415,0.40425,0.14165999999999998,0.15775999999999998,3.5073300000000005,2016,40.0
164,Belgium,18,6.928999999999999,1.42539,1.05249,0.8195899999999999,0.51354,0.26248,0.2424,2.61355,2016,77.0
165,Ireland,19,6.907,1.4834100000000001,1.16157,0.81455,0.54008,0.29754,0.44963000000000003,2.15988,2016,73.0
166,Luxembourg,20,6.871,1.6975200000000001,1.03999,0.8454200000000001,0.5487,0.35329,0.27571,2.11055,2016,81.0
167,Mexico,21,6.778,1.1150799999999998,0.7146,0.71143,0.37709000000000004,0.18355,0.11735,3.5590599999999997,2016,30.0
168,Singapore,22,6.739,1.64555,0.8675799999999999,0.94719,0.4877,0.46986999999999995,0.32706,1.99375,2016,84.0
169,United Kingdom,23,6.725,1.40283,1.0867200000000001,0.80991,0.50036,0.27399,0.50156,2.1499900000000003,2016,81.0
170,Chile,24,6.705,1.2167,0.9058700000000001,0.8188300000000001,0.37789,0.11450999999999999,0.31595,2.95505,2016,66.0
